term,count
"15 minutes",7
"14 days",3
"10 minutes",3
"20 minutes",2
"3 months",2
"6 months",1
"10 days",1
"20 days",1
"10 hours",1
"45 minutes",1
"15 minute",1
"90 minutes",1
